sample_id,userid,sensor,body_part,side,sequence_length
521,user01,smartwatch,hand,right,3000
522,user01,smartwatch,hand,right,3000
526,user01,smartwatch,hand,right,3000
529,user01,smartwatch,hand,right,3000
530,user01,smartwatch,hand,right,3000
531,user01,smartwatch,hand,right,3000
534,user01,smartwatch,hand,right,3000
535,user01,smartwatch,hand,right,3000
537,user01,smartwatch,hand,right,3000
539,user01,smartwatch,hand,right,3000
542,user01,smartwatch,hand,right,3000
545,user01,smartwatch,hand,right,3000
546,user01,smartwatch,hand,right,3000
553,user01,smartwatch,hand,right,3000
558,user01,smartwatch,hand,right,3000
566,user01,smartwatch,hand,right,3500
570,user01,smartwatch,hand,right,3500
575,user01,smartwatch,hand,right,3500
577,user01,smartwatch,hand,right,3500
581,user01,smartwatch,hand,right,3500
586,user01,smartwatch,hand,right,3500
587,user01,smartwatch,hand,right,3500
589,user01,smartwatch,hand,right,3500
591,user01,smartwatch,hand,right,3500
594,user01,smartwatch,hand,right,3500
595,user01,smartwatch,hand,right,3500
596,user01,smartwatch,hand,right,3500
597,user01,smartwatch,hand,right,3500
600,user01,smartwatch,hand,right,3500
601,user01,smartwatch,hand,right,3500
605,user01,smartwatch,hand,right,3500
606,user01,smartwatch,hand,right,3500
613,user01,smartwatch,hand,right,3500
617,user01,smartwatch,hand,right,3500
620,user01,smartwatch,hand,right,4000
623,user01,smartwatch,hand,right,4000
624,user01,smartwatch,hand,right,4000
625,user01,smartwatch,hand,right,4000
630,user01,smartwatch,hand,right,4000
631,user01,smartwatch,hand,right,4000
635,user01,smartwatch,hand,right,4000
636,user01,smartwatch,hand,right,4000
637,user01,smartwatch,hand,right,4000
643,user01,smartwatch,hand,right,4000
649,user01,smartwatch,hand,right,4000
656,user01,smartwatch,hand,right,4000
658,user01,smartwatch,hand,right,4000
661,user01,smartwatch,hand,right,4000
662,user01,smartwatch,hand,right,4000
672,user01,smartwatch,hand,right,4000
673,user01,smartwatch,hand,right,4000
677,user01,vicon,foot,left,3000
678,user01,vicon,foot,left,3000
679,user01,vicon,foot,left,3000
688,user01,vicon,hand,left,3000
693,user01,vicon,hand,left,4000
694,user01,vicon,foot,right,3000
702,user01,vicon,foot,right,3000
704,user01,vicon,foot,right,3000
708,user01,vicon,foot,right,3500
709,user01,vicon,foot,right,3500
712,user01,vicon,foot,right,3500
713,user01,vicon,foot,right,3500
714,user01,vicon,foot,right,3500
715,user01,vicon,foot,right,4000
717,user01,vicon,foot,right,4000
720,user01,vicon,foot,right,4000
727,user01,vicon,hand,right,3000
728,user01,vicon,hand,right,3000
729,user01,vicon,hand,right,3000
733,user01,vicon,hand,right,3000
734,user01,vicon,hand,right,3500
736,user01,vicon,hand,right,3500
737,user01,vicon,hand,right,3500
738,user01,vicon,hand,right,3500
751,user01,vicon,hand,right,4000
752,user01,vicon,hand,right,4000
753,user01,smartwatch,hand,left,3000
755,user01,smartwatch,hand,left,3000
757,user01,smartwatch,hand,left,3000
762,user01,smartwatch,hand,left,3000
767,user01,smartwatch,hand,left,3000
771,user01,smartwatch,hand,left,3000
774,user01,smartwatch,hand,left,3000
775,user01,smartwatch,hand,left,3000
780,user01,smartwatch,hand,left,3000
782,user01,smartwatch,hand,left,3000
783,user01,smartwatch,hand,left,3000
794,user01,smartwatch,hand,left,3500
795,user01,smartwatch,hand,left,3500
804,user01,smartwatch,hand,left,3500
805,user01,smartwatch,hand,left,3500
808,user01,smartwatch,hand,left,3500
810,user01,smartwatch,hand,left,3500
811,user01,smartwatch,hand,left,3500
814,user01,smartwatch,hand,left,3500
817,user01,smartwatch,hand,left,3500
818,user01,smartwatch,hand,left,3500
823,user01,smartwatch,hand,left,3500
824,user01,smartwatch,hand,left,3500
827,user01,smartwatch,hand,left,3500
829,user01,smartwatch,hand,left,3500
832,user01,smartwatch,hand,left,4000
834,user01,smartwatch,hand,left,4000
835,user01,smartwatch,hand,left,4000
836,user01,smartwatch,hand,left,4000
844,user01,smartwatch,hand,left,4000
848,user01,smartwatch,hand,left,4000
849,user01,smartwatch,hand,left,4000
851,user01,smartwatch,hand,left,4000
852,user01,smartwatch,hand,left,4000
853,user01,smartwatch,hand,left,4000
854,user01,smartwatch,hand,left,4000
862,user01,smartwatch,hand,left,4000
863,user01,smartwatch,hand,left,4000
870,user01,smartwatch,hand,right,3000
875,user01,smartwatch,hand,right,3000
878,user01,smartwatch,hand,right,3000
879,user01,smartwatch,hand,right,3000
880,user01,smartwatch,hand,right,3000
881,user01,smartwatch,hand,right,3000
882,user01,smartwatch,hand,right,3000
883,user01,smartwatch,hand,right,3000
889,user01,smartwatch,hand,right,3000
890,user01,smartwatch,hand,right,3000
892,user01,smartwatch,hand,right,3000
893,user01,smartwatch,hand,right,3000
895,user01,smartwatch,hand,right,3000
896,user01,smartwatch,hand,right,3000
901,user01,smartwatch,hand,right,3000
902,user01,smartwatch,hand,right,3000
905,user01,smartwatch,hand,right,3000
907,user01,smartwatch,hand,right,3000
911,user01,smartwatch,hand,right,3500
913,user01,smartwatch,hand,right,3500
917,user01,smartwatch,hand,right,3500
918,user01,smartwatch,hand,right,3500
921,user01,smartwatch,hand,right,3500
923,user01,smartwatch,hand,right,3500
924,user01,smartwatch,hand,right,3500
930,user01,smartwatch,hand,right,3500
931,user01,smartwatch,hand,right,3500
933,user01,smartwatch,hand,right,3500
941,user01,smartwatch,hand,right,3500
943,user01,smartwatch,hand,right,3500
944,user01,smartwatch,hand,right,3500
949,user01,smartwatch,hand,right,4000
955,user01,smartwatch,hand,right,4000
957,user01,smartwatch,hand,right,4000
960,user01,smartwatch,hand,right,4000
964,user01,smartwatch,hand,right,4000
967,user01,smartwatch,hand,right,4000
969,user01,smartwatch,hand,right,4000
971,user01,smartwatch,hand,right,4000
974,user01,smartwatch,hand,right,4000
986,user01,vicon,hand,left,3000
987,user01,vicon,hand,left,3000
995,user01,vicon,hand,left,3500
997,user01,vicon,hand,left,3500
999,user01,vicon,hand,left,4000
1001,user01,vicon,hand,left,4000
1003,user01,vicon,hand,left,4000
1004,user01,vicon,hand,left,4000
1007,user01,vicon,foot,right,3000
1008,user01,vicon,foot,right,3000
1011,user01,vicon,foot,right,3000
1015,user01,vicon,foot,right,3500
1016,user01,vicon,foot,right,3500
1023,user01,vicon,foot,right,3500
1026,user01,vicon,foot,right,4000
1027,user01,vicon,foot,right,4000
1029,user01,vicon,foot,right,4000
1032,user01,vicon,hand,right,3000
1034,user01,vicon,hand,right,3000
1035,user01,vicon,hand,right,3000
1037,user01,vicon,hand,right,3000
1039,user01,vicon,hand,right,3000
1040,user01,vicon,hand,right,3000
1043,user01,vicon,hand,right,3500
1048,user01,vicon,hand,right,3500
1049,user01,vicon,hand,right,3500
1051,user01,vicon,hand,right,4000
1056,user01,vicon,hand,right,4000
1057,user01,vicon,hand,right,4000
1060,user01,smartwatch,hand,left,3000
1061,user01,smartwatch,hand,left,3000
1064,user01,smartwatch,hand,left,3000
1065,user01,smartwatch,hand,left,3000
1068,user01,smartwatch,hand,left,3000
1071,user01,smartwatch,hand,left,3000
1072,user01,smartwatch,hand,left,3000
1073,user01,smartwatch,hand,left,3000
1082,user01,smartwatch,hand,left,3000
1086,user01,smartwatch,hand,left,3000
1087,user01,smartwatch,hand,left,3000
1088,user01,smartwatch,hand,left,3000
1090,user01,smartwatch,hand,left,3000
1098,user01,smartwatch,hand,left,3000
1101,user01,smartwatch,hand,left,3000
1103,user01,smartwatch,hand,left,3000
1105,user01,smartwatch,hand,left,3000
1108,user01,smartwatch,hand,left,3000
1110,user01,smartwatch,hand,left,3000
1113,user01,smartwatch,hand,left,3000
1115,user01,smartwatch,hand,left,3000
1119,user01,smartwatch,hand,left,3500
1121,user01,smartwatch,hand,left,3500
1125,user01,smartwatch,hand,left,3500
1127,user01,smartwatch,hand,left,3500
1130,user01,smartwatch,hand,left,3500
1144,user01,smartwatch,hand,left,3500
1148,user01,smartwatch,hand,left,3500
1153,user01,smartwatch,hand,left,3500
1154,user01,smartwatch,hand,left,3500
1155,user01,smartwatch,hand,left,3500
1157,user01,smartwatch,hand,left,3500
1158,user01,smartwatch,hand,left,3500
1159,user01,smartwatch,hand,left,3500
1162,user01,smartwatch,hand,left,3500
1163,user01,smartwatch,hand,left,3500
1168,user01,smartwatch,hand,left,3500
1169,user01,smartwatch,hand,left,3500
1173,user01,smartwatch,hand,left,4000
1174,user01,smartwatch,hand,left,4000
1178,user01,smartwatch,hand,left,4000
1179,user01,smartwatch,hand,left,4000
1180,user01,smartwatch,hand,left,4000
1181,user01,smartwatch,hand,left,4000
1182,user01,smartwatch,hand,left,4000
1183,user01,smartwatch,hand,left,4000
1184,user01,smartwatch,hand,left,4000
1185,user01,smartwatch,hand,left,4000
1188,user01,smartwatch,hand,left,4000
1190,user01,smartwatch,hand,left,4000
1194,user01,smartwatch,hand,left,4000
1198,user01,smartwatch,hand,left,4000
1208,user01,smartwatch,hand,left,4000
1213,user01,smartwatch,hand,left,4000
1214,user01,smartwatch,hand,left,4000
1216,user01,smartwatch,hand,left,4000
1218,user01,smartwatch,hand,left,4000
1219,user01,smartwatch,hand,left,4000
1225,user01,smartwatch,hand,left,4000
1226,user01,smartwatch,hand,left,4000
1228,user01,smartwatch,hand,right,3000
1231,user01,smartwatch,hand,right,3000
1237,user01,smartwatch,hand,right,3000
1244,user01,smartwatch,hand,right,3000
1245,user01,smartwatch,hand,right,3000
1246,user01,smartwatch,hand,right,3000
1250,user01,smartwatch,hand,right,3000
1252,user01,smartwatch,hand,right,3000
1253,user01,smartwatch,hand,right,3000
1257,user01,smartwatch,hand,right,3000
1266,user01,smartwatch,hand,right,3000
1272,user01,smartwatch,hand,right,3000
1273,user01,smartwatch,hand,right,3000
1274,user01,smartwatch,hand,right,3000
1277,user01,smartwatch,hand,right,3000
1279,user01,smartwatch,hand,right,3000
1281,user01,smartwatch,hand,right,3000
1283,user01,smartwatch,hand,right,3500
1287,user01,smartwatch,hand,right,3500
1291,user01,smartwatch,hand,right,3500
1296,user01,smartwatch,hand,right,3500
1300,user01,smartwatch,hand,right,3500
1301,user01,smartwatch,hand,right,3500
1307,user01,smartwatch,hand,right,3500
1313,user01,smartwatch,hand,right,3500
1320,user01,smartwatch,hand,right,3500
1321,user01,smartwatch,hand,right,3500
1326,user01,smartwatch,hand,right,3500
1327,user01,smartwatch,hand,right,3500
1328,user01,smartwatch,hand,right,3500
1330,user01,smartwatch,hand,right,3500
1331,user01,smartwatch,hand,right,3500
1334,user01,smartwatch,hand,right,3500
1339,user01,smartwatch,hand,right,4000
1340,user01,smartwatch,hand,right,4000
1341,user01,smartwatch,hand,right,4000
1344,user01,smartwatch,hand,right,4000
1347,user01,smartwatch,hand,right,4000
1355,user01,smartwatch,hand,right,4000
1363,user01,smartwatch,hand,right,4000
1366,user01,smartwatch,hand,right,4000
1367,user01,smartwatch,hand,right,4000
1369,user01,smartwatch,hand,right,4000
1378,user01,smartwatch,hand,right,4000
1381,user01,smartwatch,hand,right,4000
1382,user01,smartwatch,hand,right,4000
1388,user01,smartwatch,hand,right,4000
1390,user01,smartwatch,hand,right,4000
1403,user01,vicon,foot,right,3000
1404,user01,vicon,foot,right,3000
1406,user01,vicon,foot,right,3000
1412,user01,vicon,foot,right,3500
1414,user01,vicon,foot,right,3500
1425,user01,vicon,foot,right,3500
1430,user01,vicon,foot,right,4000
1433,user01,vicon,foot,right,4000
1434,user01,vicon,foot,right,4000
1436,user01,vicon,foot,right,4000
1446,user01,vicon,hand,right,3000
1449,user01,vicon,hand,right,3000
1459,user01,vicon,hand,right,3500
1463,user01,vicon,hand,right,3500
1464,user01,vicon,hand,right,3500
1473,user01,vicon,hand,right,4000
1474,user01,vicon,hand,right,4000
1476,user01,vicon,hand,right,4000
1482,user01,vicon,hand,right,4000
1484,user01,smartwatch,hand,right,3000
1485,user01,smartwatch,hand,right,3000
1495,user01,smartwatch,hand,right,4000
1497,user01,smartwatch,hand,right,4000
1501,user01,smartwatch,hand,right,3000
1502,user01,smartwatch,hand,right,3000
1506,user01,smartwatch,hand,right,3000
1507,user01,smartwatch,hand,right,3000
1517,user01,smartwatch,hand,right,3500
1530,user01,smartwatch,hand,right,4000
1531,user01,smartwatch,hand,right,4000
1534,user01,smartwatch,hand,right,3000
1543,user01,smartwatch,hand,right,4000
1547,user01,smartwatch,hand,right,3000
1552,user01,smartwatch,hand,right,3000
1554,user01,smartwatch,hand,right,3000
1555,user01,smartwatch,hand,right,3000
1556,user01,smartwatch,hand,right,3000
1558,user01,smartwatch,hand,right,3000
1559,user01,smartwatch,hand,right,3500
1561,user01,smartwatch,hand,right,3500
1566,user01,smartwatch,hand,right,3500
1569,user01,smartwatch,hand,right,3500
1570,user01,smartwatch,hand,right,3500
1572,user01,smartwatch,hand,right,4000
1574,user01,smartwatch,hand,right,4000
1579,user01,smartwatch,hand,right,4000
1582,user01,smartwatch,hand,right,4000
1584,user01,smartwatch,hand,right,3000
1586,user01,smartwatch,hand,right,3000
1588,user01,smartwatch,hand,right,3500
1591,user01,smartwatch,hand,right,4000
1594,user01,smartwatch,hand,right,3000
1597,user01,smartwatch,hand,right,3000
1598,user01,smartwatch,hand,right,3000
1604,user01,smartwatch,hand,right,3500
1612,user01,smartwatch,hand,right,3000
1613,user01,smartwatch,hand,right,3000
1616,user01,smartwatch,hand,right,3000
1617,user01,smartwatch,hand,right,3500
1618,user01,smartwatch,hand,right,3500
1620,user01,smartwatch,hand,right,3500
1622,user01,smartwatch,hand,right,3500
1623,user01,smartwatch,hand,right,4000
1625,user01,smartwatch,hand,right,4000
1628,user01,smartwatch,hand,right,3000
1629,user01,smartwatch,hand,right,3000
1630,user01,smartwatch,hand,right,3000
1641,user01,smartwatch,hand,right,3000
1644,user01,smartwatch,hand,right,3000
1646,user01,smartwatch,hand,right,3000
1649,user01,smartwatch,hand,right,3000
1651,user01,smartwatch,hand,right,3000
1656,user01,smartwatch,hand,right,3000
1658,user01,smartwatch,hand,right,3500
1667,user01,smartwatch,hand,right,3500
1668,user01,smartwatch,hand,right,3500
1670,user01,smartwatch,hand,right,3500
1672,user01,smartwatch,hand,right,3500
1674,user01,smartwatch,hand,right,3500
1677,user01,smartwatch,hand,right,3500
1678,user01,smartwatch,hand,right,3500
1683,user01,smartwatch,hand,right,3500
1684,user01,smartwatch,hand,right,3500
1688,user01,smartwatch,hand,right,4000
1697,user01,smartwatch,hand,right,4000
1702,user01,smartwatch,hand,right,4000
1710,user01,smartwatch,hand,right,4000
1711,user01,smartwatch,hand,right,4000
1712,user01,smartwatch,hand,right,4000
1713,user01,smartwatch,hand,right,4000
1716,user01,smartwatch,hand,right,3000
1718,user01,smartwatch,hand,right,3000
1719,user01,smartwatch,hand,right,3000
1725,user01,smartwatch,hand,right,3000
1735,user01,smartwatch,hand,right,3000
1737,user01,smartwatch,hand,right,3000
1738,user01,smartwatch,hand,right,3000
1740,user01,smartwatch,hand,right,3000
1742,user01,smartwatch,hand,right,3000
1744,user01,smartwatch,hand,right,3000
1745,user01,smartwatch,hand,right,3000
1750,user01,smartwatch,hand,right,3500
1753,user01,smartwatch,hand,right,3500
1755,user01,smartwatch,hand,right,3500
1756,user01,smartwatch,hand,right,3500
1764,user01,smartwatch,hand,right,3500
1767,user01,smartwatch,hand,right,3500
1768,user01,smartwatch,hand,right,3500
1772,user01,smartwatch,hand,right,3500
1773,user01,smartwatch,hand,right,3500
1776,user01,smartwatch,hand,right,3500
1778,user01,smartwatch,hand,right,4000
1781,user01,smartwatch,hand,right,4000
1782,user01,smartwatch,hand,right,4000
1784,user01,smartwatch,hand,right,4000
1787,user01,smartwatch,hand,right,4000
1789,user01,smartwatch,hand,right,4000
1794,user01,smartwatch,hand,right,4000
1797,user01,smartwatch,hand,right,4000
1800,user01,smartwatch,hand,right,4000
1803,user01,smartwatch,hand,right,4000
1810,user01,smartwatch,hand,right,3000
1814,user01,smartwatch,hand,right,3000
1816,user01,smartwatch,hand,right,3000
1817,user01,smartwatch,hand,right,3000
1818,user01,smartwatch,hand,right,3000
1825,user01,smartwatch,hand,right,3000
1831,user01,smartwatch,hand,right,3000
1832,user01,smartwatch,hand,right,3500
1840,user01,smartwatch,hand,right,3500
1849,user01,smartwatch,hand,right,3500
1851,user01,smartwatch,hand,right,3500
1854,user01,smartwatch,hand,right,3500
1855,user01,smartwatch,hand,right,3500
1856,user01,smartwatch,hand,right,3500
1864,user01,smartwatch,hand,right,4000
1866,user01,smartwatch,hand,right,4000
1867,user01,smartwatch,hand,right,4000
1872,user01,smartwatch,hand,right,4000
1874,user01,smartwatch,hand,right,4000
1880,user01,smartwatch,hand,right,4000
1883,user01,smartwatch,hand,right,3000
1886,user01,smartwatch,hand,right,3000
1887,user01,smartwatch,hand,right,3000
1889,user01,smartwatch,hand,right,3000
1893,user01,smartwatch,hand,right,3000
1894,user01,smartwatch,hand,right,3000
1896,user01,smartwatch,hand,right,3000
1900,user01,smartwatch,hand,right,3000
1904,user01,smartwatch,hand,right,3000
1906,user01,smartwatch,hand,right,3000
1914,user01,smartwatch,hand,right,3500
1921,user01,smartwatch,hand,right,3500
1923,user01,smartwatch,hand,right,3500
1926,user01,smartwatch,hand,right,3500
1928,user01,smartwatch,hand,right,3500
1929,user01,smartwatch,hand,right,3500
1930,user01,smartwatch,hand,right,3500
1932,user01,smartwatch,hand,right,4000
1934,user01,smartwatch,hand,right,4000
1936,user01,smartwatch,hand,right,4000
1937,user01,smartwatch,hand,right,4000
1941,user01,smartwatch,hand,right,4000
1945,user01,smartwatch,hand,right,4000
1952,user01,smartwatch,hand,right,4000
1953,user01,smartwatch,hand,right,4000
1955,user01,smartwatch,hand,right,3000
1957,user01,smartwatch,hand,right,3000
1960,user01,smartwatch,hand,right,3000
1963,user01,smartwatch,hand,right,3000
1966,user01,smartwatch,hand,right,3000
1979,user01,smartwatch,hand,right,3500
1981,user01,smartwatch,hand,right,3500
1982,user01,smartwatch,hand,right,3500
1990,user01,smartwatch,hand,right,3500
1991,user01,smartwatch,hand,right,3500
1994,user01,smartwatch,hand,right,3500
1996,user01,smartwatch,hand,right,4000
2000,user01,smartwatch,hand,right,4000
2003,user01,smartwatch,hand,right,4000
2004,user01,smartwatch,hand,right,4000
2005,user01,smartwatch,hand,right,4000
2012,user01,smartwatch,hand,right,4000
2018,user01,smartwatch,hand,right,3000
2020,user01,smartwatch,hand,right,3000
2023,user01,smartwatch,hand,right,3000
2025,user01,smartwatch,hand,right,3000
2031,user01,smartwatch,hand,right,3000
2032,user01,smartwatch,hand,right,3000
2035,user01,smartwatch,hand,right,3500
2042,user01,smartwatch,hand,right,3500
2044,user01,smartwatch,hand,right,3500
2045,user01,smartwatch,hand,right,3500
2046,user01,smartwatch,hand,right,3500
2047,user01,smartwatch,hand,right,3500
2051,user01,smartwatch,hand,right,3500
2053,user01,smartwatch,hand,right,3500
2056,user01,smartwatch,hand,right,4000
2062,user01,smartwatch,hand,right,4000
2069,user01,smartwatch,hand,right,4000
2075,user01,smartwatch,hand,right,3000
2076,user01,smartwatch,hand,right,3000
2083,user01,smartwatch,hand,right,3500
2084,user01,smartwatch,hand,right,3500
2087,user01,smartwatch,hand,right,4000
2092,user01,smartwatch,hand,right,4000
2093,user01,smartwatch,hand,right,3000
2096,user01,smartwatch,hand,right,3000
2100,user01,smartwatch,hand,right,3000
2102,user01,smartwatch,hand,right,3000
2105,user01,smartwatch,hand,right,3000
2107,user01,smartwatch,hand,right,3000
2110,user01,smartwatch,hand,right,3000
2111,user01,smartwatch,hand,right,3000
2115,user01,smartwatch,hand,right,3000
2116,user01,smartwatch,hand,right,3000
2117,user01,smartwatch,hand,right,3000
2120,user01,smartwatch,hand,right,3000
2121,user01,smartwatch,hand,right,3000
2126,user01,smartwatch,hand,right,3500
2130,user01,smartwatch,hand,right,3500
2133,user01,smartwatch,hand,right,3500
2134,user01,smartwatch,hand,right,3500
2137,user01,smartwatch,hand,right,3500
2141,user01,smartwatch,hand,right,3500
2144,user01,smartwatch,hand,right,3500
2152,user01,smartwatch,hand,right,3500
2156,user01,smartwatch,hand,right,4000
2157,user01,smartwatch,hand,right,4000
2158,user01,smartwatch,hand,right,4000
2159,user01,smartwatch,hand,right,4000
2160,user01,smartwatch,hand,right,4000
2166,user01,smartwatch,hand,right,4000
2168,user01,smartwatch,hand,right,4000
2169,user01,smartwatch,hand,right,4000
2173,user01,smartwatch,hand,right,4000
2174,user01,smartwatch,hand,right,4000
2180,user01,smartwatch,hand,right,4000
2187,user01,smartwatch,hand,right,3000
2188,user01,smartwatch,hand,right,3000
2189,user01,smartwatch,hand,right,3000
2194,user01,smartwatch,hand,right,3000
2195,user01,smartwatch,hand,right,3000
2196,user01,smartwatch,hand,right,3000
2197,user01,smartwatch,hand,right,3000
2202,user01,smartwatch,hand,right,3000
2204,user01,smartwatch,hand,right,3000
2206,user01,smartwatch,hand,right,3000
2208,user01,smartwatch,hand,right,3000
2209,user01,smartwatch,hand,right,3000
2211,user01,smartwatch,hand,right,3000
2213,user01,smartwatch,hand,right,3000
2219,user01,smartwatch,hand,right,3000
2227,user01,smartwatch,hand,right,3500
2228,user01,smartwatch,hand,right,3500
2230,user01,smartwatch,hand,right,3500
2231,user01,smartwatch,hand,right,3500
2232,user01,smartwatch,hand,right,3500
2233,user01,smartwatch,hand,right,3500
2234,user01,smartwatch,hand,right,3500
2237,user01,smartwatch,hand,right,3500
2239,user01,smartwatch,hand,right,3500
2240,user01,smartwatch,hand,right,3500
2241,user01,smartwatch,hand,right,3500
2243,user01,smartwatch,hand,right,3500
2244,user01,smartwatch,hand,right,3500
2250,user01,smartwatch,hand,right,3500
2251,user01,smartwatch,hand,right,3500
2253,user01,smartwatch,hand,right,3500
